,season_x,player,age,team_id,pos,g,gs,mp_per_g,fga_per_g,fg_pct,fg3a_per_g,fg3_pct,fg2a_per_g,fg2_pct,efg_pct,fta_per_g,ft_pct,orb_per_g,drb_per_g,tr_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,season_y,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
3918,2023,Joe Wieskamp,23,TOR,SF,9,0,5.6,1.6,.214,1.3,.250,0.2,.000,.321,0.0,,0.0,0.4,0.4,0.3,0.0,0.0,0.1,0.3,1.0,2023,50,-0.4,.321,.857,.000,0.0,9.8,4.5,7.4,0.0,0.0,6.7,12.8,-0.1,0.0,-0.1,-0.076,-7.0,-3.6,-10.6,-0.1,1.48,1.6,0.5
3920,2024,Gradey Dick,20,TOR,SG,60,17,21.1,7.4,.425,4.0,.365,3.4,.495,.524,0.9,.863,0.5,1.8,2.2,1.1,0.6,0.0,0.8,1.5,8.5,2024,1268,8.9,.546,.542,.115,2.3,9.3,5.7,7.4,1.3,0.1,9.7,17.4,-0.1,0.4,0.3,.010,-3.2,-2.2,-5.4,-1.1,1.48,1.6,0.5
3922,2024,Javon Freeman-Liberty,24,TOR,PG,22,6,18.3,5.6,.444,1.9,.238,3.7,.549,.484,1.6,.917,0.7,2.5,3.2,1.8,0.5,0.2,1.1,1.3,7.0,2024,403,10.7,.547,.339,.290,4.3,15.1,9.6,13.4,1.2,0.9,15.2,17.5,0.1,0.2,0.2,.029,-3.1,-2.0,-5.2,-0.3,1.48,1.6,0.5
3924,2024,Jahmi'us Ramsey,22,TOR,SG,7,1,17.3,5.9,.439,3.1,.273,2.7,.632,.512,0.9,.833,0.6,2.6,3.1,1.1,1.0,0.0,1.0,1.4,6.7,2024,121,10.6,.538,.537,.146,3.6,16.7,10.0,9.1,2.8,0.0,13.8,17.9,-0.1,0.1,0.1,.021,-3.9,-0.5,-4.4,-0.1,1.48,1.6,0.5
3926,2024,Jontay Porter,24,TOR,PF,26,5,13.8,4.0,.385,2.3,.333,1.7,.455,.481,0.7,.833,1.0,2.2,3.2,2.3,0.8,0.8,0.8,1.3,4.4,2024,360,14.9,.514,.577,.173,7.8,17.5,12.5,21.8,2.7,4.9,15.8,15.8,0.2,0.4,0.7,.089,-0.3,1.9,1.7,0.3,1.48,1.6,0.5
3928,2024,D.J. Carton,23,TOR,SG,4,0,9.0,2.0,.375,1.0,.250,1.0,.500,.438,1.3,.800,0.5,0.5,1.0,0.8,0.3,0.0,0.3,0.8,2.8,2024,36,9.6,.539,.500,.625,6.0,6.2,6.1,10.5,1.3,0.0,8.9,13.3,0.0,0.0,0.0,.062,-4.2,-1.1,-5.3,0.0,1.48,1.6,0.5
3930,2024,Malik Williams,25,TOR,C,7,2,15.3,4.9,.265,0.7,.200,4.1,.276,.279,0.3,.000,2.1,3.3,5.4,0.3,0.4,0.6,0.4,2.1,2.7,2024,107,4.9,.272,.147,.059,15.1,24.1,19.5,2.4,1.4,3.3,7.9,15.1,-0.3,0.1,-0.2,-0.069,-7.8,-3.7,-11.5,-0.3,1.48,1.6,0.5
3932,2024,Mouhamadou Gueye,25,TOR,PF,11,0,10.9,3.5,.289,0.3,.000,3.2,.314,.289,0.8,.444,1.1,1.0,2.1,0.5,0.3,1.6,1.1,1.4,2.4,2024,120,4.6,.310,.079,.237,10.8,10.3,10.5,5.3,1.2,13.2,22.2,19.2,-0.5,0.2,-0.4,-0.147,-11.0,-0.9,-11.9,-0.3,1.48,1.6,0.5
3934,2024,Markquis Nowell,24,TOR,SG,1,0,4.0,1.0,.000,0.0,,1.0,.000,.000,2.0,1.000,2.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,2024,4,55.5,.532,.000,2.000,53.9,0.0,27.5,57.1,12.1,0.0,0.0,20.1,0.0,0.0,0.1,.665,29.1,14.2,43.3,0.0,1.48,1.6,0.5
3944,2023,Tyrese Haliburton,22,IND,PG,56,56,33.6,15.0,.490,7.2,.400,7.8,.572,.586,3.6,.871,0.6,3.1,3.7,10.4,1.6,0.4,2.5,1.2,20.7,2023,1883,23.6,.624,.478,.239,1.9,10.1,6.0,47.6,2.3,1.1,13.2,23.8,6.4,1.2,7.6,.195,7.0,0.2,7.2,4.4,-3.18,-2.9000000000000004,0.4268292682926829
3952,2023,Myles Turner,26,IND,C,62,62,29.4,11.8,.548,4.0,.373,7.8,.638,.612,4.5,.783,1.4,6.1,7.5,1.4,0.6,2.3,1.7,3.5,18.0,2023,1825,20.0,.651,.340,.377,5.4,22.9,14.2,7.5,0.9,6.6,10.8,22.0,3.4,2.0,5.4,.142,1.4,0.7,2.1,1.9,-3.18,-2.9000000000000004,0.4268292682926829
3976,2023,Bennedict Mathurin,20,IND,SG,78,17,28.5,12.2,.434,4.0,.323,8.2,.488,.487,5.8,.828,1.1,3.0,4.1,1.5,0.6,0.2,1.9,2.1,16.7,2023,2222,13.1,.566,.326,.477,4.4,11.5,7.9,7.6,1.0,0.5,11.7,24.6,1.0,0.8,1.8,.038,-1.2,-2.5,-3.7,-1.0,-3.18,-2.9000000000000004,0.4268292682926829
3992,2024,Doug McDermott,32,IND,SF,18,0,11.3,3.8,.406,3.1,.321,0.7,.769,.536,0.1,.500,0.1,0.5,0.6,0.7,0.3,0.0,0.2,0.9,4.2,2023,1314,11.2,.590,.570,.134,1.9,9.9,5.8,9.8,0.5,0.4,9.5,19.2,1.0,0.0,1.0,.035,-0.7,-2.5,-3.2,-0.4,-3.18,-2.9000000000000004,0.4268292682926829
4000,2023,Aaron Nesmith,23,IND,SF,73,60,24.9,8.1,.427,4.3,.366,3.8,.496,.525,1.9,.838,0.8,2.9,3.8,1.3,0.8,0.5,1.0,3.2,10.1,2023,1816,10.5,.566,.532,.241,3.8,13.1,8.5,7.4,1.4,1.6,10.3,16.8,0.9,1.1,2.0,.052,-2.3,-0.7,-3.0,-0.4,-3.18,-2.9000000000000004,0.4268292682926829
4008,2023,Andrew Nembhard,23,IND,SG,75,63,27.6,8.6,.441,3.5,.350,5.1,.504,.512,0.8,.790,0.5,2.2,2.7,4.5,0.9,0.2,1.7,2.4,9.5,2023,2073,10.0,.528,.408,.096,1.9,8.8,5.3,22.4,1.6,0.5,15.8,16.1,0.4,0.8,1.2,.029,-2.4,-0.8,-3.2,-0.6,-3.18,-2.9000000000000004,0.4268292682926829
4016,2023,Jalen Smith,22,IND,C,68,31,18.8,7.5,.476,2.8,.283,4.7,.593,.530,2.0,.759,1.9,3.9,5.8,1.0,0.3,0.9,1.1,2.3,9.4,2023,1279,15.9,.565,.376,.270,11.2,22.9,17.1,7.6,0.8,4.0,11.2,21.0,1.1,1.1,2.3,.085,-0.9,-1.1,-2.1,0.0,-3.18,-2.9000000000000004,0.4268292682926829
4048,2023,T.J. McConnell,30,IND,PG,75,6,20.3,6.9,.543,0.8,.441,6.2,.556,.568,0.9,.853,0.6,2.5,3.1,5.3,1.1,0.1,1.9,1.4,8.7,2023,1526,16.8,.590,.113,.131,3.3,13.7,8.5,37.9,2.5,0.6,20.6,19.1,1.9,1.2,3.1,.098,0.4,0.1,0.5,1.0,-3.18,-2.9000000000000004,0.4268292682926829
4056,2023,Gabe York,29,IND,SG,3,0,18.7,7.0,.381,6.0,.333,1.0,.667,.524,0.7,1.000,0.0,2.0,2.0,1.7,0.7,0.0,0.0,1.7,8.0,2023,56,11.8,.548,.857,.095,0.0,11.9,5.9,12.3,1.7,0.0,0.0,16.4,0.1,0.0,0.1,.091,-1.7,-1.8,-3.5,0.0,-3.18,-2.9000000000000004,0.4268292682926829
4066,2023,Isaiah Jackson,21,IND,C,63,12,16.5,5.0,.563,0.2,.143,4.8,.582,.566,2.3,.651,1.8,2.7,4.5,0.8,0.5,1.5,0.8,2.4,7.2,2023,1042,17.5,.595,.044,.459,12.1,18.0,15.0,7.0,1.4,7.7,11.8,17.4,1.5,1.2,2.7,.124,-1.7,0.9,-0.8,0.3,-3.18,-2.9000000000000004,0.4268292682926829
4074,2023,Daniel Theis,30,IND,C,7,1,15.6,6.3,.477,1.6,.182,4.7,.576,.500,1.7,.417,1.0,2.1,3.1,1.3,0.3,0.9,0.4,1.0,7.0,2023,109,14.2,.497,.250,.273,7.1,15.2,11.2,12.2,0.9,4.7,5.7,20.1,0.0,0.1,0.1,.046,-0.9,-0.5,-1.4,0.0,-3.18,-2.9000000000000004,0.4268292682926829
4090,2024,Quenton Jackson,25,IND,PG,3,0,3.7,0.3,.000,0.0,,0.3,.000,.000,0.7,1.000,0.0,1.3,1.3,0.7,0.3,0.0,0.0,0.3,0.7,2023,135,12.2,.542,.286,.524,1.7,4.8,3.3,15.1,1.4,0.6,7.2,17.9,0.1,0.1,0.2,.078,-3.7,-1.5,-5.1,-0.1,-3.18,-2.9000000000000004,0.4268292682926829
4104,2023,Goga Bitadze,23,IND,C,21,0,9.6,2.5,.519,0.7,.286,1.8,.605,.558,1.1,.458,1.2,1.1,2.3,0.9,0.4,0.5,0.6,1.6,3.3,2023,457,17.1,.582,.208,.336,15.0,18.7,16.8,12.1,1.7,5.3,13.3,15.4,0.8,0.6,1.3,.141,-0.8,1.1,0.3,0.3,-3.18,-2.9000000000000004,0.4268292682926829
4112,2023,Trevelin Queen,25,IND,SG,7,0,10.0,4.1,.241,2.1,.133,2.0,.357,.276,0.7,1.000,1.1,1.3,2.4,0.9,0.3,0.7,1.0,0.6,3.0,2023,70,6.0,.337,.517,.172,12.7,14.2,13.5,11.1,1.4,6.1,18.3,22.9,-0.3,0.1,-0.2,-0.133,-5.6,-1.5,-7.2,-0.1,-3.18,-2.9000000000000004,0.4268292682926829
4124,2023,James Johnson,35,IND,PF,18,1,9.0,2.7,.449,0.8,.200,1.9,.559,.480,0.4,.500,0.2,1.4,1.7,0.8,0.4,0.3,0.4,1.8,2.8,2023,162,8.4,.486,.306,.163,2.7,17.8,10.3,12.6,2.1,3.2,13.2,15.7,-0.1,0.2,0.1,.017,-5.7,1.2,-4.4,-0.1,-3.18,-2.9000000000000004,0.4268292682926829
4132,2023,Kendall Brown,19,IND,SG,6,0,6.7,1.2,.571,0.2,.000,1.0,.667,.571,0.3,.500,0.3,0.7,1.0,0.5,0.7,0.0,0.3,1.5,1.5,2023,40,9.1,.571,.143,.286,5.6,11.1,8.3,9.7,4.7,0.0,20.2,10.4,0.0,0.1,0.1,.071,-7.0,4.0,-2.9,0.0,-3.18,-2.9000000000000004,0.4268292682926829
4140,2024,Ben Sheppard,22,IND,SG,57,1,14.3,4.0,.393,2.7,.314,1.3,.562,.500,0.5,.885,0.3,1.3,1.6,0.9,0.6,0.0,0.3,1.5,4.4,2024,814,8.1,.524,.681,.114,2.1,10.3,6.2,7.5,1.9,0.2,5.9,13.2,0.3,0.4,0.8,.046,-3.3,-0.1,-3.4,-0.3,-3.18,-2.9000000000000004,0.4268292682926829
4142,2024,Jarace Walker,20,IND,PF,33,0,10.3,3.3,.409,1.7,.400,1.7,.418,.509,0.3,.889,0.4,1.5,1.9,1.2,0.5,0.3,0.5,0.9,3.6,2024,340,11.8,.527,.500,.082,4.0,17.0,10.5,13.9,2.1,2.6,13.0,16.1,0.1,0.3,0.4,.058,-0.5,0.7,0.2,0.2,-3.18,-2.9000000000000004,0.4268292682926829
4144,2024,Oscar Tshiebwe,24,IND,PF,8,0,5.3,2.5,.500,0.0,,2.5,.500,.500,1.0,.750,1.0,1.0,2.0,0.3,0.3,0.1,0.0,0.4,3.3,2024,42,24.8,.553,.000,.400,21.6,21.6,21.6,6.4,2.2,1.9,0.0,23.5,0.1,0.0,0.2,.221,4.5,-2.3,2.2,0.0,-3.18,-2.9000000000000004,0.4268292682926829
4146,2024,Isaiah Wong,23,IND,SG,1,0,4.0,3.0,.333,1.0,.000,2.0,.500,.333,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2024,4,-1.1,.333,.333,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.4,0.0,0.0,0.0,-0.277,-11.3,-7.7,-19.0,0.0,-3.18,-2.9000000000000004,0.4268292682926829
4148,2023,Paul George,32,LAC,SF,56,56,34.6,17.9,.457,7.6,.371,10.3,.521,.536,5.3,.871,0.8,5.3,6.1,5.1,1.5,0.4,3.1,2.8,23.8,2023,1939,19.6,.588,.424,.293,2.6,17.0,9.9,24.2,2.1,0.9,13.4,29.5,2.3,2.3,4.6,.114,2.4,0.3,2.8,2.3,0.5,0.31,0.5365853658536586
4156,2023,Kawhi Leonard,31,LAC,SF,52,50,33.6,16.8,.512,4.8,.416,11.9,.551,.572,5.4,.871,1.1,5.4,6.5,3.9,1.4,0.5,1.7,1.6,23.8,2023,1748,23.9,.623,.287,.320,3.7,17.8,10.8,19.6,2.0,1.4,8.1,27.0,4.9,2.2,7.1,.194,5.1,0.9,6.1,3.5,0.5,0.31,0.5365853658536586
4168,2023,Norman Powell,29,LAC,SG,60,8,26.1,11.8,.479,4.8,.397,7.1,.534,.559,4.6,.812,0.4,2.5,2.9,1.8,0.8,0.3,1.7,2.1,17.0,2023,1567,17.1,.612,.404,.390,1.7,10.7,6.3,11.0,1.6,1.0,10.8,26.0,2.1,1.4,3.5,.107,0.9,-0.7,0.3,0.9,0.5,0.31,0.5365853658536586
4200,2023,Eric Gordon,34,LAC,SG,22,11,24.9,8.0,.463,5.0,.423,2.9,.531,.597,1.7,.842,0.2,1.5,1.7,2.1,0.6,0.4,1.0,1.5,11.0,2023,1965,11.8,.587,.545,.265,0.9,6.7,3.8,13.4,1.1,1.2,12.5,17.8,1.8,0.5,2.3,.056,-0.5,-1.4,-1.9,0.1,0.5,0.31,0.5365853658536586
4224,2023,John Wall,32,LAC,PG,34,3,22.2,9.9,.408,3.2,.303,6.7,.459,.457,3.3,.681,0.4,2.3,2.7,5.2,0.8,0.4,2.4,1.7,11.4,2023,755,13.6,.498,.322,.334,2.1,11.4,6.8,35.3,1.8,1.4,17.1,27.0,-0.4,0.7,0.3,.020,-0.8,-0.4,-1.2,0.1,0.5,0.31,0.5365853658536586
4234,2023,Mason Plumlee,32,LAC,C,23,4,19.9,3.8,.727,0.0,,3.8,.727,.727,2.5,.772,1.8,5.1,6.9,1.7,0.5,0.5,1.3,2.4,7.5,2023,2054,19.6,.689,.000,.647,11.8,25.1,18.4,17.3,1.1,2.0,15.8,15.2,5.5,2.4,7.9,.185,1.2,1.0,2.2,2.2,0.5,0.31,0.5365853658536586
4250,2023,Ivica Zubac,25,LAC,C,76,76,28.6,6.8,.634,0.0,.000,6.7,.637,.634,3.1,.697,3.1,6.8,9.9,1.0,0.4,1.3,1.5,2.9,10.8,2023,2170,16.7,.661,.004,.463,12.3,26.5,19.5,5.1,0.7,4.0,15.9,14.8,3.8,2.9,6.7,.149,-1.1,0.2,-0.9,0.6,0.5,0.31,0.5365853658536586
4274,2023,Terance Mann,26,LAC,SG,81,36,23.1,6.5,.519,2.4,.389,4.0,.598,.593,1.5,.780,1.0,2.5,3.4,2.3,0.5,0.3,1.0,1.8,8.8,2023,1872,13.4,.619,.378,.225,4.7,11.8,8.3,14.0,1.1,1.0,12.2,15.3,2.8,1.5,4.3,.111,-0.3,0.1,-0.2,0.8,0.5,0.31,0.5365853658536586
4282,2024,Joshua Primo,21,LAC,SG,2,0,5.0,1.5,.333,0.5,.000,1.0,.500,.333,0.0,,0.5,0.0,0.5,0.0,0.0,0.5,2.0,0.0,1.0,2023,93,6.1,.467,.462,.346,2.3,13.4,7.6,24.4,0.5,1.8,26.9,18.2,-0.2,0.0,-0.1,-0.073,-4.7,-1.6,-6.3,-0.1,0.5,0.31,0.5365853658536586
4294,2023,Brandon Boston Jr.,21,LAC,SF,22,1,11.3,5.5,.418,1.3,.414,4.2,.419,.467,1.7,.763,0.3,1.0,1.4,0.9,0.4,0.0,0.5,1.0,6.5,2023,248,13.4,.515,.238,.311,3.2,10.3,6.8,12.5,1.8,0.0,8.0,26.5,0.0,0.2,0.2,.040,-1.5,-0.7,-2.2,0.0,0.5,0.31,0.5365853658536586
4350,2023,Amir Coffey,25,LAC,SF,50,9,12.5,2.9,.386,0.8,.275,2.1,.429,.424,1.3,.778,0.3,0.7,1.1,1.1,0.1,0.1,0.4,1.0,3.4,2023,625,7.0,.498,.276,.434,3.1,6.4,4.7,11.2,0.5,0.7,10.8,13.5,0.1,0.3,0.4,.033,-4.3,-0.7,-5.0,-0.5,0.5,0.31,0.5365853658536586
4362,2023,Moussa Diabaté,21,LAC,C,22,1,8.9,2.1,.511,0.1,.500,2.0,.511,.521,0.7,.625,1.4,0.9,2.3,0.2,0.3,0.4,0.4,0.7,2.7,2023,195,14.2,.546,.043,.340,18.0,10.8,14.4,2.8,1.8,3.6,14.3,14.1,0.2,0.2,0.4,.105,-1.9,-0.8,-2.8,0.0,0.5,0.31,0.5365853658536586
4370,2023,Xavier Moon,28,LAC,SG,4,0,5.0,2.3,.333,0.8,.333,1.5,.333,.389,0.0,,0.0,0.8,0.8,1.3,0.0,0.0,0.3,0.5,1.8,2023,20,7.2,.389,.333,.000,0.0,16.6,8.4,35.7,0.0,0.0,10.0,21.8,0.0,0.0,0.0,-0.030,-4.1,-1.0,-5.1,0.0,0.5,0.31,0.5365853658536586
4378,2024,Kobe Brown,24,LAC,PF,44,0,9.0,2.0,.411,1.1,.292,1.0,.548,.489,0.0,.500,0.5,1.0,1.4,0.6,0.3,0.1,0.2,1.1,2.0,2024,394,7.6,.490,.533,.022,5.9,11.6,8.9,8.1,1.5,1.4,9.0,11.1,0.1,0.3,0.5,.055,-4.0,0.2,-3.8,-0.2,0.5,0.31,0.5365853658536586
4380,2024,Jordan Miller,24,LAC,SF,8,0,3.5,1.1,.556,0.3,.500,0.9,.571,.611,0.3,1.000,0.4,0.3,0.6,0.0,0.0,0.0,0.1,0.3,1.6,2024,28,14.1,.658,.222,.222,12.5,7.8,10.1,0.0,0.0,0.0,9.2,17.0,0.1,0.0,0.1,.116,0.4,-4.2,-3.8,0.0,0.5,0.31,0.5365853658536586
4382,2023,Bradley Beal,29,WAS,SG,50,50,33.5,17.6,.506,4.4,.365,13.2,.552,.551,4.6,.842,0.8,3.1,3.9,5.4,0.9,0.7,2.9,2.1,23.2,2023,1673,19.7,.593,.249,.260,2.8,9.9,6.5,26.6,1.3,1.7,12.9,29.2,2.2,1.2,3.4,.099,2.9,-1.2,1.8,1.6,-1.21,-1.06,0.4268292682926829
4390,2023,Kyle Kuzma,27,WAS,PF,64,64,35.0,17.8,.448,7.5,.333,10.3,.533,.518,3.7,.730,0.9,6.4,7.2,3.7,0.6,0.5,3.0,2.3,21.2,2023,2239,14.3,.544,.421,.208,2.8,19.5,11.5,16.5,0.8,1.1,13.2,27.9,-1.0,1.9,0.9,.019,-0.2,-1.5,-1.7,0.2,-1.21,-1.06,0.4268292682926829
4402,2024,Marvin Bagley III,24,WAS,C,24,15,24.0,9.5,.581,0.7,.471,8.8,.590,.599,2.7,.708,3.5,4.6,8.1,1.2,0.6,0.8,1.3,1.7,13.3,2023,990,17.2,.587,.173,.283,10.2,20.2,15.1,5.9,0.9,2.7,9.7,20.4,1.3,0.7,2.0,.095,0.3,-1.2,-0.9,0.3,-1.21,-1.06,0.4268292682926829
4418,2023,Corey Kispert,23,WAS,SF,74,45,28.3,7.9,.497,5.2,.424,2.7,.637,.637,1.2,.852,0.4,2.4,2.8,1.2,0.4,0.1,0.7,1.3,11.1,2023,2093,11.5,.657,.656,.150,1.8,8.9,5.5,5.7,0.7,0.4,8.1,14.1,2.9,0.9,3.8,.088,-0.1,-1.4,-1.5,0.2,-1.21,-1.06,0.4268292682926829
4438,2024,Hamidou Diallo,25,WAS,SG,2,0,2.5,1.0,.500,0.0,,1.0,.500,.500,0.0,,1.0,0.0,1.0,0.5,1.0,0.0,0.5,0.5,1.0,2023,996,15.7,.593,.056,.395,6.2,15.7,10.8,9.2,2.6,1.4,13.9,21.8,0.4,0.9,1.3,.063,-1.8,0.4,-1.4,0.1,-1.21,-1.06,0.4268292682926829
4442,2023,Deni Avdija,22,WAS,SF,76,40,26.6,7.6,.437,3.1,.297,4.6,.530,.497,2.2,.739,1.0,5.4,6.4,2.8,0.9,0.4,1.6,2.8,9.2,2023,2020,11.2,.535,.401,.285,4.2,21.9,13.4,13.9,1.6,1.2,15.9,16.7,0.0,2.3,2.3,.054,-2.8,0.5,-2.3,-0.1,-1.21,-1.06,0.4268292682926829
4466,2024,Landry Shamet,26,WAS,SG,46,5,15.8,6.0,.431,3.4,.338,2.5,.556,.527,1.0,.826,0.3,1.0,1.3,1.2,0.5,0.2,0.7,1.7,7.1,2023,807,10.9,.537,.663,.170,1.5,7.9,4.6,15.7,1.6,0.6,10.0,18.9,0.5,0.7,1.2,.071,-1.1,-0.3,-1.4,0.1,-1.21,-1.06,0.4268292682926829
4470,2023,Delon Wright,30,WAS,PG,50,14,24.4,5.8,.474,2.4,.345,3.4,.564,.545,1.2,.867,1.2,2.4,3.6,3.9,1.8,0.3,0.9,1.2,7.4,2023,1221,16.3,.581,.409,.206,5.5,10.7,8.2,20.9,3.7,1.2,12.2,12.9,2.1,1.6,3.7,.146,0.4,3.1,3.4,1.7,-1.21,-1.06,0.4268292682926829
4540,2023,Johnny Davis,20,WAS,SG,28,5,15.1,6.1,.386,2.5,.243,3.6,.485,.436,1.0,.519,0.4,2.0,2.3,1.0,0.4,0.3,0.6,1.7,5.8,2023,423,7.2,.446,.409,.158,2.7,13.9,8.5,9.2,1.2,1.6,8.5,20.5,-0.6,0.3,-0.3,-0.033,-5.8,-1.7,-7.4,-0.6,-1.21,-1.06,0.4268292682926829
4552,2023,Xavier Cooks,27,WAS,PF,10,1,12.6,2.8,.607,0.1,.000,2.7,.630,.607,1.0,.400,1.6,2.2,3.8,0.6,0.6,0.4,0.8,1.3,3.8,2023,126,14.3,.586,.036,.357,14.7,18.7,16.8,6.4,2.3,2.7,19.8,13.9,0.1,0.2,0.2,.094,-3.2,-0.4,-3.6,-0.1,-1.21,-1.06,0.4268292682926829
4562,2023,Anthony Gill,30,WAS,PF,59,8,10.6,2.2,.538,0.5,.138,1.7,.650,.553,1.1,.731,0.6,1.1,1.7,0.6,0.1,0.2,0.3,1.2,3.3,2023,624,11.1,.604,.220,.508,6.9,10.6,8.8,7.2,0.5,1.6,8.5,12.3,1.0,0.4,1.3,.101,-2.4,-0.9,-3.3,-0.2,-1.21,-1.06,0.4268292682926829
4606,2023,Jordan Schakel,24,WAS,SF,2,0,3.0,1.0,.500,0.5,1.000,0.5,.000,.750,0.0,,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.5,1.5,2023,6,24.3,.750,.500,.000,0.0,0.0,0.0,23.5,8.1,0.0,0.0,14.5,0.0,0.0,0.0,.314,7.7,9.3,17.0,0.0,-1.21,-1.06,0.4268292682926829
4608,2023,Isaiah Todd,21,WAS,PF,6,1,10.2,3.2,.158,1.7,.100,1.5,.222,.184,0.3,1.000,0.3,1.7,2.0,0.7,0.2,0.0,0.3,0.7,1.5,2023,61,-1.0,.226,.526,.105,3.8,17.6,10.9,7.9,0.8,0.0,9.1,15.6,-0.2,0.0,-0.2,-0.147,-10.3,-3.9,-14.2,-0.2,-1.21,-1.06,0.4268292682926829
4610,2023,Vernon Carey Jr.,21,WAS,C,11,0,2.5,0.7,.250,0.0,,0.7,.250,.250,0.2,1.000,0.3,0.7,1.0,0.3,0.2,0.2,0.2,0.5,0.5,2023,28,10.8,.338,.000,.250,12.4,30.6,21.8,13.3,3.5,6.0,18.4,16.9,-0.1,0.1,0.0,.014,-7.1,2.1,-5.0,0.0,-1.21,-1.06,0.4268292682926829
4612,2023,Devon Dotson,23,WAS,PG,6,0,8.8,1.7,.100,0.7,.250,1.0,.000,.150,0.0,,1.0,0.7,1.7,1.3,0.8,0.0,0.5,1.5,0.5,2023,53,4.8,.150,.400,.000,13.1,8.1,10.5,17.6,4.6,0.0,23.1,10.7,-0.1,0.1,0.0,-0.025,-7.0,1.8,-5.3,0.0,-1.21,-1.06,0.4268292682926829
4614,2024,Tristan Vukcevic,20,WAS,C,10,4,15.3,6.7,.433,3.6,.278,3.1,.613,.507,2.2,.773,0.6,3.0,3.6,1.3,0.5,0.7,1.0,2.8,8.5,2024,153,13.9,.554,.537,.328,4.1,21.5,12.6,12.1,1.5,3.7,11.5,23.9,0.0,0.1,0.1,.045,-3.5,-0.1,-3.6,-0.1,-1.21,-1.06,0.4268292682926829
4616,2024,Bilal Coulibaly,19,WAS,SF,63,15,27.2,6.9,.435,2.9,.346,3.9,.502,.509,2.1,.702,0.9,3.2,4.1,1.7,0.9,0.8,1.4,2.2,8.4,2024,1715,8.9,.543,.428,.303,3.4,12.8,8.0,8.2,1.6,2.3,15.1,14.2,-0.5,0.9,0.4,.013,-3.6,-0.5,-4.2,-0.9,-1.21,-1.06,0.4268292682926829
4632,2024,Jules Bernard,24,WAS,SG,19,0,7.8,3.4,.453,1.5,.379,1.8,.514,.539,0.5,.556,0.5,0.8,1.4,0.8,0.2,0.1,0.4,0.7,3.9,2024,149,12.7,.544,.453,.141,7.0,11.8,9.3,15.4,0.9,0.5,10.5,21.5,0.0,0.0,0.1,.026,-0.6,-2.5,-3.0,0.0,-1.21,-1.06,0.4268292682926829
4634,2023,Jimmy Butler,33,MIA,PF,64,64,33.4,13.9,.539,1.6,.350,12.3,.564,.560,8.7,.850,2.2,3.7,5.9,5.3,1.8,0.3,1.6,1.3,22.9,2023,2138,27.6,.647,.116,.625,7.5,13.3,10.3,27.1,2.7,1.0,8.2,25.6,9.4,2.9,12.3,.277,6.7,2.0,8.7,5.8,-0.32,-0.14,0.5365853658536586
4642,2024,Terry Rozier,29,MIA,PG,31,30,31.5,14.5,.423,5.7,.371,8.7,.458,.497,2.2,.913,0.6,3.6,4.2,4.6,1.0,0.3,1.3,1.6,16.4,2023,2221,14.7,.517,.425,.185,2.4,10.2,6.2,22.7,1.6,0.6,9.4,26.9,0.1,1.6,1.7,.037,0.6,-1.1,-0.6,0.8,-0.32,-0.14,0.5365853658536586
4650,2023,Bam Adebayo,25,MIA,C,75,75,34.6,14.9,.540,0.2,.083,14.7,.545,.541,5.4,.806,2.5,6.7,9.2,3.2,1.2,0.8,2.5,2.8,20.4,2023,2598,20.1,.592,.011,.361,8.0,23.6,15.5,15.9,1.7,2.4,12.7,25.2,3.6,3.8,7.4,.137,0.8,0.8,1.5,2.3,-0.32,-0.14,0.5365853658536586
4658,2023,Tyler Herro,23,MIA,SG,67,67,34.9,16.6,.439,8.0,.378,8.5,.497,.531,2.7,.934,0.4,5.0,5.4,4.2,0.8,0.2,2.4,1.5,20.1,2023,2337,15.3,.566,.484,.164,1.3,17.3,9.0,19.9,1.1,0.7,11.7,25.6,1.1,2.4,3.5,.072,1.5,-0.8,0.6,1.6,-0.32,-0.14,0.5365853658536586
4686,2023,Victor Oladipo,30,MIA,SG,42,2,26.3,9.6,.397,5.0,.330,4.5,.471,.484,1.9,.747,0.4,2.7,3.0,3.5,1.4,0.3,2.1,2.4,10.7,2023,1106,10.6,.513,.526,.196,1.6,12.3,6.8,19.8,2.6,1.1,16.6,21.1,-0.9,1.5,0.6,.024,-2.9,0.8,-2.1,0.0,-0.32,-0.14,0.5365853658536586
